school_name,county_id,school_county,9_grade_students,10_grade_students,11_grade_students,12_grade_students,total_students,total_american_indian_alaskan,total_asian,total_hispanic,total_black,total_white,fte_teachers,student_teacher_ratio,coed,school_type,school_level,religious_affiliation,library,high_grade,low_grade
MONTESSORI ACADEMY - DELRAN,5,BURLINGTON,-1,-1,-1,-1,110,0,25,10,4,65,6,18,Coed,Montessori,Combined elementary and secondary,Nonsectarian,Yes,All Ungraded,All Ungraded
ACADEMY OF THE HOLY ANGELS,3,BERGEN,145,135,134,125,539,2,90,62,18,360,47,12,All-Female,Regular elementary or secondary,Secondary,Catholic,Yes,Grade 12,Grade 9
MORRIS CATHOLIC HIGH SCHOOL,27,MORRIS,121,105,98,134,458,0,26,37,19,373,34,13,Coed,Regular elementary or secondary,Secondary,Catholic,Yes,Grade 12,Grade 9
BETHANY BAPTIST CHRISTIAN SCHOOL,15,GLOUCESTER,-1,2,1,-1,15,0,0,0,1,9,3,5,Coed,Regular elementary or secondary,Combined elementary and secondary,Other religious,Yes,Grade 11,Pre-K
NEW LIFE CHRISTIAN SCHOOL,23,MIDDLESEX,1,-1,-1,-1,38,0,0,1,18,8,3,9,Coed,Regular elementary or secondary,Combined elementary and secondary,Other religious,Yes,Grade 9,Pre-K
MADRASATU AHLIS SUNNAH,13,ESSEX,14,12,2,-1,203,0,0,7,153,18,22,8,Coed,Regular elementary or secondary,Combined elementary and secondary,Other religious,Yes,Grade 11,Pre-K
JAMAS CHILDREN'S UNIVERSITY,13,ESSEX,8,10,12,4,101,0,0,0,91,0,5,18,Coed,Regular elementary or secondary,Combined elementary and secondary,Nonsectarian,Yes,Grade 12,Pre-K
TIMOTHY CHRISTIAN ACADEMY,5,BURLINGTON,2,2,-1,-1,196,0,3,8,30,65,16,7,Coed,Regular elementary or secondary,Combined elementary and secondary,Other religious,Yes,Grade 10,Pre-K
HARBOR SCHOOL,25,MONMOUTH,-1,-1,-1,-1,95,0,2,8,20,65,15,6,Coed,Special Education,Combined elementary and secondary,Nonsectarian,No,All Ungraded,All Ungraded
SCHOOL FOR CHILDREN,25,MONMOUTH,-1,-1,-1,-1,149,0,0,13,9,125,17,9,Coed,Special Education,Combined elementary and secondary,Nonsectarian,No,All Ungraded,All Ungraded
BISHOP GEORGE AHR HIGH SCHOOL,23,MIDDLESEX,239,253,211,243,946,17,90,87,114,610,59,16,Coed,Regular elementary or secondary,Secondary,Catholic,Yes,Grade 12,Grade 9
RABBI JACOB JOSEPH YESHIVA,23,MIDDLESEX,19,18,13,22,72,0,0,0,0,72,9,8,All-Male,Special program emphasis,Secondary,Other religious,No,Grade 12,Grade 9
YOU & ME SCHOOL,23,MIDDLESEX,-1,-1,-1,-1,12,0,0,0,0,4,1,4,Coed,Special Education,Combined elementary and secondary,Nonsectarian,No,Pre-K,Pre-K
LAKEVIEW SCHOOL,23,MIDDLESEX,-1,-1,-1,-1,163,0,22,51,23,59,22,7,Coed,Special Education,Combined elementary and secondary,Nonsectarian,Yes,Pre-K,Pre-K
WARDLAW-HARTRIDGE SCHOOL,23,MIDDLESEX,49,46,36,29,414,2,110,34,73,183,55,7,Coed,Regular elementary or secondary,Combined elementary and secondary,Nonsectarian,Yes,Grade 12,Pre-K
THE PILGRIM ACADEMY,1,ATLANTIC,35,25,37,32,357,2,30,20,31,249,31,11,Coed,Regular elementary or secondary,Combined elementary and secondary,Other religious,Yes,Grade 12,Pre-K
ATLANTIC CHRISTIAN SCHOOL,1,ATLANTIC,38,24,37,24,397,0,29,12,52,268,33,11,Coed,Regular elementary or secondary,Combined elementary and secondary,Other religious,Yes,Grade 12,Pre-K
ST PATRICK HIGH SCHOOL,39,UNION,49,51,50,60,210,0,0,74,128,8,17,12,Coed,Regular elementary or secondary,Secondary,Catholic,Yes,Grade 12,Grade 9
ST MARY OF THE ASSUMPTION HIGH S,39,UNION,57,70,52,56,235,0,4,89,112,16,22,11,Coed,Regular elementary or secondary,Secondary,Catholic,No,Grade 12,Grade 9
BENEDICTINE ACADEMY,39,UNION,39,37,43,47,166,0,13,49,73,25,17,10,All-Female,Regular elementary or secondary,Secondary,Catholic,Yes,Grade 12,Grade 9
RAV TEITZ MESIVTA ACADEMY,39,UNION,42,34,48,53,233,0,0,0,0,233,25,9,All-Male,Regular elementary or secondary,Combined elementary and secondary,Other religious,Yes,Grade 12,Grade 6
BRURIAH HIGH SCHOOL FOR GIRLS,39,UNION,81,84,84,98,377,0,0,-1,0,-1,60,6,All-Female,Regular elementary or secondary,Secondary,Other religious,Yes,Grade 12,Grade 7
TRINITY CHRISTIAN ACADEMY,39,UNION,14,10,14,8,111,0,8,53,30,14,12,9,Coed,Regular elementary or secondary,Combined elementary and secondary,Other religious,No,Grade 12,Pre-K
DWIGHT-ENGLEWOOD SCHOOL,3,BERGEN,122,112,109,111,932,0,152,50,49,646,126,7,Coed,Regular elementary or secondary,Combined elementary and secondary,Nonsectarian,Yes,Grade 12,Pre-K
YESHIVA OHR HATALMUD OF ENGLEWOO,3,BERGEN,17,10,18,11,56,0,0,0,0,56,6,9,All-Male,Regular elementary or secondary,Secondary,Other religious,Yes,Grade 12,Grade 9
SISTER GEORGINE SCHOOL,21,MERCER,-1,-1,-1,-1,15,0,1,4,9,1,3,5,Coed,Special Education,Combined elementary and secondary,Nonsectarian,Yes,All Ungraded,All Ungraded
VILLA VICTORIA ACADEMYN LOWER,21,MERCER,20,22,17,11,192,0,6,4,20,162,25,8,All-Female,Regular elementary or secondary,Combined elementary and secondary,Catholic,Yes,Grade 12,Kingergarten
NEW BEGINNINGS,13,ESSEX,-1,-1,-1,-1,191,0,14,25,24,121,24,8,Coed,Special Education,Combined elementary and secondary,Nonsectarian,No,Pre-K,Pre-K
THE GRAMON SCHOOL & GLENVIEW ACA,13,ESSEX,-1,-1,-1,-1,42,0,0,17,24,1,5,8,Coed,Special Education,Combined elementary and secondary,Nonsectarian,Yes,All Ungraded,All Ungraded
FIRST CHILDREN,39,UNION,-1,-1,-1,-1,64,0,0,22,30,11,10,6,Coed,Special Education,Combined elementary and secondary,Nonsectarian,No,All Ungraded,All Ungraded
CENTER FOR EDUC ADVANCEMENT-SPRI,19,HUNTERDON,3,1,6,6,17,0,0,4,1,12,3,5,Coed,Special Education,Secondary,Nonsectarian,Yes,Grade 12,Grade 8
Y C S FORT LEE EDUCATION CENTER,3,BERGEN,6,19,16,20,65,0,0,20,35,10,10,6,Coed,Special Education,Secondary,Nonsectarian,No,Grade 12,Grade 7
NORTHEAST CHRISTIAN ACADEMY,3,BERGEN,3,2,1,-1,45,0,0,8,4,13,4,11,Coed,Regular elementary or secondary,Combined elementary and secondary,Other religious,No,Grade 11,Pre-K
GILL ST BERNARD S SCHOOL,27,MORRIS,79,71,76,47,679,0,229,105,124,0,91,7,Coed,Regular elementary or secondary,Combined elementary and secondary,Nonsectarian,Yes,Grade 12,Pre-K
MONTGOMERY ACADEMY,27,MORRIS,10,8,13,12,74,0,1,3,1,69,28,3,Coed,Special Education,Combined elementary and secondary,Nonsectarian,Yes,Grade 12,Grade 1
GLOUCESTER CATHOLIC HIGH SCHOOL,7,CAMDEN,185,190,169,185,729,0,0,5,10,714,40,18,Coed,Regular elementary or secondary,Secondary,Catholic,Yes,Grade 12,Grade 9
HACKENSACK CHRISTIAN SCHOOLS,3,BERGEN,12,10,8,6,133,0,17,36,36,18,17,7,Coed,Regular elementary or secondary,Combined elementary and secondary,Other religious,Yes,Grade 12,Pre-K
YCS GEORGE WASHINGTON SCHOOL,3,BERGEN,-1,-1,-1,-1,83,0,2,20,46,15,12,7,Coed,Special Education,Combined elementary and secondary,Nonsectarian,No,All Ungraded,All Ungraded
BAPTIST REGIONAL SCHOOL,7,CAMDEN,29,25,41,34,249,0,14,4,59,169,25,10,Coed,Regular elementary or secondary,Combined elementary and secondary,Other religious,Yes,Grade 12,Kingergarten
PAUL VI HIGH SCHOOL,7,CAMDEN,263,335,328,266,1192,0,22,35,87,1004,77,16,Coed,Regular elementary or secondary,Secondary,Catholic,Yes,Grade 12,Grade 9
TRENTON CATHOLIC SCHOOL UPPER SCHOOL,21,MERCER,55,63,50,38,206,0,0,36,123,41,22,9,Coed,Regular elementary or secondary,Secondary,Catholic,Yes,Grade 12,Grade 9
DELAWARE VALLEY SCHOOL FOR EXCEP,21,MERCER,7,7,3,9,28,1,0,4,15,7,4,7,Coed,Special Education,Secondary,Nonsectarian,Yes,Grade 12,Grade 7
ST JOSEPH REGIONAL HIGH SCHOOL,1,ATLANTIC,-1,110,101,126,337,0,1,16,14,302,42,8,Coed,Regular elementary or secondary,Secondary,Catholic,Yes,Grade 12,Grade 10
LIFE MISSION TRAINING CENTER INC,1,ATLANTIC,3,-1,-1,-1,10,0,0,0,0,10,5,2,Coed,Regular elementary or secondary,Combined elementary and secondary,Other religious,Yes,Grade 9,Kingergarten
BERGEN CENTER FOR CHILD DEVELOPM,3,BERGEN,-1,-1,-1,-1,49,0,1,17,10,21,10,5,Coed,Special Education,Combined elementary and secondary,Nonsectarian,Yes,All Ungraded,All Ungraded
HAWTHORNE CHRISTIAN ACADEMY,3,BERGEN,36,34,30,41,441,0,53,48,76,220,45,9,Coed,Regular elementary or secondary,Combined elementary and secondary,Other religious,Yes,Grade 12,Pre-K
MONMOUTH CHRISTIAN ACADEMY,25,MONMOUTH,3,1,3,-1,17,0,0,0,0,13,1,17,Coed,Regular elementary or secondary,Combined elementary and secondary,Other religious,Yes,Grade 11,Grade 3
REENAS BAIS YAAKOV,23,MIDDLESEX,13,15,14,-1,42,0,0,0,0,42,4,11,All-Female,Regular elementary or secondary,Secondary,Other religious,Yes,Grade 11,Grade 9
THE PEDDIE SCHOOL,21,MERCER,118,146,134,141,539,0,31,12,39,457,93,6,Coed,Regular elementary or secondary,Secondary,Nonsectarian,Yes,Grade 12,Grade 9
THE HUDSON SCHOOL,17,HUDSON,26,21,24,16,195,0,24,14,18,128,36,5,Coed,Special program emphasis,Combined elementary and secondary,Nonsectarian,No,Grade 12,Grade 5
ST JOHN VIANNEY REGIONAL HIGH SCHOOL,25,MONMOUTH,254,261,238,256,1009,0,17,22,15,915,59,17,Coed,Regular elementary or secondary,Secondary,Catholic,Yes,Grade 12,Grade 9
COASTAL LEARNING CENTER,25,MONMOUTH,11,14,14,16,86,0,0,14,57,15,12,7,Coed,Alternative,Combined elementary and secondary,Nonsectarian,Yes,Grade 12,Grade 2
MONMOUTH ACADEMY,25,MONMOUTH,9,3,10,7,93,0,3,5,9,63,21,4,Coed,Regular elementary or secondary,Combined elementary and secondary,Nonsectarian,Yes,Grade 12,Pre-K
INDEPENDENCE HIGH SCHOOL,13,ESSEX,8,6,9,8,31,0,0,1,30,0,6,5,Coed,Alternative,Secondary,Nonsectarian,Yes,Grade 12,Grade 9
ALPHA SCHOOL,29,OCEAN,-1,-1,-1,-1,61,0,1,1,8,51,10,6,Coed,Special Education,Combined elementary and secondary,Nonsectarian,No,All Ungraded,All Ungraded
YESHIVA TIFERES NAFTOLI OF CENTR,23,MIDDLESEX,5,8,8,10,31,0,0,0,0,31,13,2,All-Male,Regular elementary or secondary,Secondary,Other religious,No,Grade 12,Grade 9
ST PETERS PREPARATORY SCHOOL,17,HUDSON,232,247,192,220,891,2,104,108,64,565,62,14,All-Male,Regular elementary or secondary,Secondary,Catholic,Yes,Grade 12,Grade 9
ST MARY HIGH SCHOOL,17,HUDSON,35,41,68,59,203,0,20,128,45,7,13,16,Coed,Regular elementary or secondary,Secondary,Catholic,No,Grade 12,Grade 9
HUDSON CATHOLIC REGIONAL HIGH SCHOOL,17,HUDSON,125,69,96,106,396,2,62,135,60,101,29,14,Coed,Regular elementary or secondary,Secondary,Catholic,Yes,Grade 12,Grade 9
ST ANTHONY HIGH SCHOOL,17,HUDSON,57,63,59,59,238,0,13,34,185,5,21,11,Coed,Regular elementary or secondary,Secondary,Catholic,No,Grade 12,Grade 9
ST DOMINIC ACADEMY,17,HUDSON,77,114,132,128,451,0,115,102,51,122,34,13,All-Female,Regular elementary or secondary,Secondary,Catholic,Yes,Grade 12,Grade 9
CONCORDIA LEARNING CENTER AT SJS,17,HUDSON,-1,-1,-1,-1,152,0,2,28,14,11,11,6,Coed,Special Education,Combined elementary and secondary,Nonsectarian,Yes,Pre-K,Pre-K
FULL WILL OF GOD CHRISTIAN ACADE,17,HUDSON,-1,1,2,-1,7,0,0,0,7,0,4,2,Coed,Regular elementary or secondary,Combined elementary and secondary,Other religious,Yes,Grade 11,Grade 2
KENMARE ALTERNATIVE HIGH SCHOOL,17,HUDSON,-1,-1,-1,-1,75,-1,-1,-1,-1,-1,6,12,All-Female,Alternative,Combined elementary and secondary,Catholic,Yes,All Ungraded,All Ungraded
TET CHRISTIAN ACADEMY,17,HUDSON,3,2,-1,-1,15,0,0,1,14,0,2,7,Coed,Regular elementary or secondary,Combined elementary and secondary,Other religious,No,Grade 10,Grade 1
YCS MAY ACADEMY,17,HUDSON,-1,-1,-1,-1,43,0,1,11,27,4,7,6,Coed,Special Education,Combined elementary and secondary,Nonsectarian,Yes,All Ungraded,All Ungraded
LAKELAND-ANDOVER SCHOOL,37,SUSSEX,5,7,11,12,37,0,0,4,5,28,6,6,Coed,Special Education,Secondary,Nonsectarian,Yes,Grade 12,Grade 8
BAIS KAILA TORAH PREPARATORY HIG,29,OCEAN,68,84,62,63,277,0,0,0,0,277,42,7,All-Female,Regular elementary or secondary,Secondary,Other religious,Yes,Grade 12,Grade 9
NEW ROAD SCHOOL,29,OCEAN,3,3,4,8,56,0,0,2,4,49,10,6,Coed,Special Education,Combined elementary and secondary,Nonsectarian,Yes,Grade 12,Kingergarten
MESIVTA KESER TORAH,25,MONMOUTH,9,12,17,16,54,0,2,0,0,52,14,4,All-Male,Regular elementary or secondary,Secondary,Other religious,Yes,Grade 12,Grade 9
YESHIVA BIRCHAS CHAIM,29,OCEAN,18,21,17,20,76,0,0,0,0,76,7,12,All-Male,Alternative,Secondary,Other religious,No,Grade 12,Grade 9
YESHIVA TORAS CHAIM,29,OCEAN,33,35,35,-1,103,0,0,0,0,103,7,15,All-Male,Special program emphasis,Secondary,Other religious,Yes,Grade 11,Grade 9
YESHIVA KETER TORAH,29,OCEAN,12,12,14,15,197,0,0,0,0,197,21,10,All-Male,Regular elementary or secondary,Combined elementary and secondary,Other religious,Yes,Grade 12,Kingergarten
YESHIVA KEREN HATORAH,29,OCEAN,30,30,30,30,120,0,0,0,0,120,8,14,All-Male,Regular elementary or secondary,Secondary,Other religious,Yes,Grade 12,Grade 9
YESHIVAS OHR YISSOCHOR,29,OCEAN,14,10,18,28,70,0,0,0,0,70,11,7,All-Male,Regular elementary or secondary,Secondary,Other religious,Yes,Grade 12,Grade 9
BAIS YAAKOV ELEMENTARY SCHOOL,29,OCEAN,50,26,50,53,179,0,0,0,0,179,31,6,All-Female,Regular elementary or secondary,Secondary,Other religious,Yes,Grade 12,Grade 9
CALVARY ACADEMY,29,OCEAN,21,27,27,31,298,0,12,35,41,175,24,12,Coed,Regular elementary or secondary,Combined elementary and secondary,Other religious,Yes,Grade 12,Pre-K
BAIS SHAINDEL HIGH SCHOOL FOR GI,29,OCEAN,118,130,110,108,466,0,0,0,0,466,44,10,All-Female,Regular elementary or secondary,Secondary,Other religious,Yes,Grade 12,Grade 9
LEHMANN SCHOOL & TECH ED CENTER,29,OCEAN,-1,-1,-1,-1,44,0,1,7,4,27,8,5,Coed,Special Education,Combined elementary and secondary,Nonsectarian,Yes,Pre-K,Pre-K
BAIS YAAKOV HIGH SCHOOL OF LAKEW,29,OCEAN,110,103,120,110,443,0,0,0,0,443,27,17,All-Female,Regular elementary or secondary,Secondary,Other religious,No,Grade 12,Grade 9
YESHIVA K'TANA OF LAKEWOOD,29,OCEAN,30,30,30,30,849,0,0,0,0,849,53,16,All-Male,Regular elementary or secondary,Combined elementary and secondary,Other religious,Yes,Grade 12,Kingergarten
YESHIVA BAIS AHARON,29,OCEAN,14,17,14,17,62,0,0,0,0,62,5,12,All-Male,Regular elementary or secondary,Secondary,Other religious,No,Grade 12,Grade 9
NEW JERSEY CENTER FOR JUDAIC STU,29,OCEAN,30,40,43,50,163,0,0,0,0,163,19,9,All-Male,Regular elementary or secondary,Secondary,Other religious,No,Grade 12,Grade 9
BNOS BAIS YAAKOV HIGH SCHOOL,29,OCEAN,50,26,50,53,179,0,0,0,0,179,28,6,All-Female,Regular elementary or secondary,Secondary,Other religious,No,Grade 12,Grade 9
YESHIVA BAIS YISROEL HIGH SCHOOL,29,OCEAN,11,9,11,-1,31,0,0,0,0,31,5,6,All-Male,Regular elementary or secondary,Secondary,Other religious,No,Grade 11,Grade 9
YESHIVAS EMEK HATORAH,29,OCEAN,17,10,-1,-1,27,0,0,0,0,27,5,5,All-Male,Regular elementary or secondary,Secondary,Other religious,No,Grade 10,Grade 9
YESHIVA GEDOLA OF WOODLAKE VILLA,29,OCEAN,16,11,8,-1,35,0,0,0,0,35,7,5,All-Male,Regular elementary or secondary,Secondary,Other religious,Yes,Grade 11,Grade 9
YESHIVA OF BROOKLYN,29,OCEAN,72,47,61,48,924,0,0,0,0,909,80,11,Coed,Regular elementary or secondary,Combined elementary and secondary,Other religious,Yes,Grade 12,Pre-K
YESHIVA YESODEI HATORAH,29,OCEAN,12,7,-1,-1,19,0,0,0,0,19,5,4,All-Male,Regular elementary or secondary,Secondary,Other religious,Yes,Grade 10,Grade 9
VALLEY BIBLE WORD OF FAITH CHURC,7,CAMDEN,3,4,5,6,62,0,0,0,62,0,5,12,Coed,Regular elementary or secondary,Combined elementary and secondary,Other religious,Yes,Grade 12,Grade 1
NOTRE DAME HIGH SCHOOL,21,MERCER,331,302,328,315,1276,82,29,30,58,1077,89,14,Coed,Regular elementary or secondary,Secondary,Catholic,Yes,Grade 12,Grade 9
THE LAWRENCEVILLE SCHOOL,21,MERCER,159,207,213,230,809,1,109,27,81,535,97,8,Coed,Regular elementary or secondary,Secondary,Nonsectarian,Yes,Grade 12,Grade 9
BONNIE BRAE SCHOOL,35,SOMERSET,19,25,18,15,89,0,1,10,42,29,22,4,All-Male,Special Education,Combined elementary and secondary,Nonsectarian,Yes,Grade 12,Grade 5
