"Theta1","Theta2","Theta3","Theta4","Theta5","J1","J2","J3","J4","J5","J6","J7","J8","J9","J10","J11","J12","J13","J14","J15","J16","J17","J18","J19","J20","J21","J22","J23","J24","J25","J26","J27","J28","J29","J30","J31","J32","J33","J34","J35","J36","J37","J38","J39","J40","J41","J42","J43","J44","J45","J46","J47","J48","J49","J50","J51","J52","J53","J54","J55","J56","J57","J58","J59","J60","J61","J62","J63","J64","J65","J66","J67","J68","J69","J70","J71","J72","J73","J74","J75","J76","J77","J78","J79","J80","J81","J82","J83","J84","J85","J86","J87","J88","J89","J90","J91","J92","J93","J94","J95","J96","J97","J98","J99","J100"
1.48779059226051,-0.985468901639607,2.11956192532927,1.36209287214167,-1.83520869212845,5,3,4,5,5,1,5,3,4,4,5,4,5,5,5,2,3,5,5,5,1,5,5,3,4,2,1,3,5,4,1,5,4,5,3,5,4,5,2,5,5,5,5,4,5,3,5,3,5,5,3,5,5,5,5,5,5,5,5,5,5,4,3,5,5,5,5,5,2,5,4,5,5,5,5,1,5,4,5,5,4,1,4,3,3,2,5,5,5,4,2,5,2,3,1,2,4,5,4,5
0.685938089915338,-1.18022119460901,-0.958079976561258,-0.527789904265732,2.27732600270815,5,3,5,3,5,3,3,3,2,4,5,4,5,5,5,1,1,2,2,4,1,5,4,5,5,5,5,5,4,5,4,5,5,5,3,5,5,5,5,5,4,2,3,3,1,5,1,2,2,1,3,1,3,5,4,3,3,3,1,5,5,4,4,5,4,1,5,2,2,2,1,5,1,5,3,1,2,1,5,3,1,2,4,3,1,1,4,4,2,2,2,5,2,3,2,5,4,3,5,3
0.076669247100174,-0.865918243613852,-0.356025977733538,-0.479108295811632,-1.39964296182663,1,3,4,2,5,3,4,1,1,5,1,5,3,1,5,1,3,2,2,2,1,1,4,3,2,1,1,5,3,1,1,5,1,2,1,1,4,5,2,3,1,3,1,1,1,2,2,3,1,2,5,3,3,1,1,3,4,5,1,5,2,3,4,4,3,4,3,2,2,3,1,5,1,5,2,2,1,2,5,2,5,1,1,2,5,1,4,4,3,5,2,1,4,2,1,2,1,3,3,4
-1.82538458295602,-1.44090555636928,-0.064440458700635,-0.258586700548926,0.787951794254948,1,1,1,3,1,5,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,5,3,3,1,1,2,1,1,1,5,1,1,1,1,1,1,1,2,2,1,1,1,3,1,1,1,1,1,1,3,1,1,2,1,1,1,1,5,1,2,1,1,2,1,4,1,2,1,2,2,1,1,1,1,1,1,1,1,1,3,1,4,2,1,1,1,1,1,3,1,1,3
0.858347476325753,0.192680380300455,-0.600026343734334,-1.17366119980634,0.524572950303591,5,5,5,3,5,4,5,3,3,5,1,2,5,2,5,5,3,5,2,4,3,5,5,5,5,5,5,5,4,5,3,3,5,5,4,5,5,5,5,3,2,2,4,3,3,5,2,5,1,1,4,1,1,5,5,3,2,3,4,5,5,1,3,5,4,5,3,3,2,2,1,1,5,5,4,1,2,4,1,4,5,1,4,3,5,2,5,5,5,4,2,5,1,4,1,5,5,5,5,3
-0.744045653295105,-0.856926252027345,-0.66730587036089,-0.173134500073883,-1.51164598368552,5,2,3,4,2,3,3,1,3,1,3,1,1,1,3,2,1,2,2,1,1,1,2,1,1,2,1,3,5,4,1,1,1,1,1,5,1,1,2,1,2,2,1,3,2,3,5,4,1,1,3,1,3,2,5,2,1,4,1,5,5,3,5,1,1,1,1,4,5,2,3,1,3,1,2,1,1,1,1,1,1,1,2,2,1,1,4,1,2,2,2,1,2,1,1,1,4,1,1,3
-1.07106455690712,-2.04659951989093,-0.799892066053618,-0.9326398486387,-1.06143737613898,1,2,2,3,1,1,1,1,2,3,4,2,2,1,1,2,1,5,1,1,1,1,1,1,1,2,1,1,2,3,1,1,1,1,3,2,2,5,1,1,1,1,1,1,1,2,2,3,1,1,1,1,3,2,3,3,1,1,1,4,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,4,1,1,1
-1.92033000832238,0.806321174531751,2.28984423540389,-1.1685002733815,1.6089051238907,1,1,1,1,1,3,3,3,1,1,1,4,1,1,3,1,1,2,1,1,1,1,1,1,1,2,3,3,4,1,3,1,1,3,3,3,1,1,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,2,1,1,1,1,5,4,3,5,1,1,1,5,2,2,2,2,5,1,2,5,1,3,1,3,1,1,2,3,5,1,1,1,1,4,2,1,1,1,1,1,4,1,3,1
-1.21504785905505,-1.43875996660503,-0.783359229959478,1.83819584159623,-0.982682148372131,1,1,5,4,1,1,1,1,1,1,1,2,2,1,2,2,1,2,1,1,1,1,1,1,1,2,1,3,2,1,1,1,1,1,1,3,1,2,2,1,4,2,1,1,3,3,5,2,1,1,3,1,3,2,5,3,3,3,2,3,2,2,1,1,1,1,1,1,1,2,1,3,3,1,1,1,1,1,1,3,1,1,4,1,1,1,1,4,1,1,2,1,2,2,1,1,1,1,3,1
-1.04174255738659,0.569108606219196,-0.126883695345974,-0.346214406703226,-0.113001382737669,4,3,1,1,1,1,3,3,1,4,1,4,2,1,3,1,3,2,1,1,1,1,1,5,5,2,1,1,4,1,1,1,1,3,1,1,1,1,1,3,1,2,1,1,2,3,1,2,1,1,3,3,2,1,1,3,3,3,4,1,2,2,1,4,1,1,2,2,5,4,1,1,1,1,1,1,1,1,4,1,1,4,4,1,5,1,1,2,5,1,2,1,2,2,1,5,4,1,4,3
0.941278376940707,2.24711399057265,0.331650248545104,-0.665043241387249,0.116245287076442,5,4,4,4,5,5,3,3,3,4,1,2,5,5,5,5,5,5,5,5,2,2,5,2,4,5,4,3,5,5,3,1,5,4,3,5,4,5,5,3,1,2,5,5,4,1,5,5,2,1,3,3,2,2,5,5,5,4,5,5,5,5,5,5,5,5,4,5,4,3,2,5,5,5,2,2,5,4,5,5,5,4,2,5,5,5,5,4,4,4,5,5,4,3,5,5,4,5,5,5
0.605926183400693,-1.29638049836964,0.161203571452797,-1.95050516068503,0.448376227247456,5,3,5,3,3,1,3,3,1,4,5,4,2,5,5,5,2,2,1,1,5,5,4,2,5,4,5,5,4,4,4,1,5,3,3,5,4,5,4,3,1,3,3,3,2,3,2,5,1,2,4,4,1,1,4,2,1,3,4,5,5,4,4,5,5,3,2,2,4,3,2,4,3,3,5,1,5,2,5,5,5,2,2,2,4,1,3,4,2,4,2,5,2,2,1,1,3,2,3,3
1.28385141660946,-1.53934534947065,0.80143291922452,0.0841555618140913,-0.196099174065002,5,5,5,4,1,5,5,1,3,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,4,3,4,5,4,4,5,4,5,3,4,5,4,5,5,5,5,4,3,3,5,4,5,4,4,5,5,4,5,5,3,3,5,5,5,4,5,5,5,4,3,5,5,2,3,5,5,5,5,5,5,5,5,5,1,3,2,5,5,2,5,3,3,3,5,5,1,2,2,5,3,4,3,3
-0.162242198009331,0.624350558365785,-0.639837830257407,-1.63688125104733,1.60301077550689,5,1,4,3,5,1,1,1,1,4,1,4,4,1,3,1,1,2,2,1,2,2,2,3,5,5,1,2,5,5,3,1,2,3,5,5,4,2,3,1,1,2,2,1,3,3,2,2,1,2,3,3,2,1,1,1,3,1,1,4,5,1,4,1,1,5,1,3,4,1,2,2,2,5,4,1,5,1,4,3,1,5,4,3,5,1,1,4,2,1,2,1,2,2,1,5,4,1,3,3
-0.414776535764069,0.380512559683003,-0.568917218398013,0.53285374831579,0.738690641095205,5,2,1,4,1,3,5,2,2,4,1,2,5,1,2,1,1,4,5,1,1,1,2,3,1,2,1,3,4,5,3,3,3,4,4,3,2,2,5,3,1,3,1,4,2,1,2,2,1,2,1,1,1,1,1,3,1,3,1,4,2,3,5,5,1,3,1,1,1,1,1,1,1,3,3,3,1,1,1,1,2,2,4,3,5,1,1,2,1,3,2,1,3,2,2,5,1,2,2,4
-0.628920010155675,0.875103709837813,0.00644645121381248,-0.498092322083232,-0.0922700304140116,5,3,4,3,2,1,1,1,2,2,3,2,2,3,3,1,1,4,1,1,1,1,1,1,1,5,1,1,2,3,3,1,1,3,2,3,3,2,2,5,2,1,1,1,1,2,3,5,1,3,3,1,1,1,1,2,1,1,4,5,4,2,1,4,1,1,1,3,2,2,2,1,4,1,1,5,3,4,1,3,1,5,2,1,3,3,4,4,4,3,2,1,2,2,1,5,4,1,3,4
0.429789201505096,-0.482501858770863,0.828792642141011,1.16386400073135,-2.04752049709869,5,3,4,1,1,1,5,5,3,4,3,1,4,5,3,4,5,2,2,5,1,1,5,5,4,4,3,3,5,1,3,5,1,4,3,5,1,5,1,3,3,3,2,3,3,3,5,5,5,5,3,3,5,5,5,5,5,4,2,5,5,4,5,4,5,5,5,3,5,4,3,5,4,5,5,2,5,4,5,2,5,1,4,2,1,1,4,5,2,1,2,5,3,3,1,5,3,4,3,4
-0.461102290646344,-1.24679857666461,-1.06616358603274,-1.64932797109442,-0.455921876669627,4,3,4,3,5,5,5,2,2,1,3,2,2,3,3,3,2,2,1,1,2,1,2,3,4,4,1,3,2,1,2,4,2,3,3,3,3,5,1,3,2,2,3,1,3,1,1,4,1,1,3,1,1,1,1,2,1,3,1,1,2,3,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,3,4,1,1,3,4,1,1,1,4,3,1,2,2,1,2,1,1,1,4,1,1,3
-0.698923468751213,1.11737566178313,-0.25188620547602,0.584831470475454,-0.00360525070808579,3,3,1,2,1,1,3,1,2,4,1,2,5,1,5,1,2,2,1,1,1,1,2,5,1,4,1,5,5,1,1,2,1,4,3,2,3,5,1,1,2,2,4,3,3,3,2,5,1,1,1,2,3,1,5,3,5,1,4,1,5,4,1,1,1,1,2,3,1,2,2,1,2,5,3,1,1,1,1,2,1,1,2,5,5,1,4,4,3,5,2,1,2,4,1,5,3,1,4,3
0.398823273057591,-0.310242034993898,0.0067012944414076,-0.193693670777716,-0.146534459741382,5,4,4,3,3,5,5,3,3,5,1,4,2,3,3,2,3,4,5,2,1,5,2,4,5,5,5,3,2,5,3,4,3,1,3,3,3,5,1,2,2,3,5,3,4,2,5,5,1,1,3,2,3,2,4,4,2,3,1,5,5,4,5,5,2,5,5,4,4,3,3,2,3,5,3,1,1,4,5,3,5,1,1,5,5,1,4,4,3,4,2,5,3,2,1,1,3,5,5,3
-1.34890719743493,-1.09657555596699,2.00145194299079,-1.18540546510088,-0.761488950835551,1,2,1,3,1,1,1,3,2,1,1,2,2,1,2,2,3,1,2,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,3,1,1,1,1,2,1,1,1,3,1,2,2,1,1,3,1,1,2,1,1,1,3,1,1,5,4,5,4,3,1,3,1,2,3,1,1,4,1,2,2,5,1,5,5,1,1,1,2,1,1,1,1,1,2,2,1,2,1,1,1,4,1,3,1
-1.39170696514858,0.00544397798883441,0.387459309034709,0.806890866769861,-0.971501370930579,3,1,1,3,1,3,1,1,1,2,1,4,1,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,3,1,1,1,2,1,1,3,1,2,1,1,1,2,2,1,1,3,1,2,1,1,3,1,3,1,1,1,2,1,1,3,2,1,1,1,1,2,1,2,5,2,2,1,3,5,3,1,5,2,5,2,1,1,4,1,1,1,1,3,1,4,2,1,2,2,1,1,2,1,2,3
-0.982186362286815,1.7098229798423,-0.39285786699821,-1.74197980939464,-0.163858210930652,2,3,1,2,1,1,1,3,1,1,1,2,2,1,3,2,2,1,1,1,1,1,2,3,1,4,3,1,1,3,3,1,1,4,3,2,4,1,2,3,1,1,1,1,1,1,2,5,1,1,3,4,1,1,1,2,1,4,1,4,5,3,2,4,3,1,1,4,4,4,2,3,1,1,3,1,1,1,1,1,2,5,4,4,3,4,2,2,2,2,2,1,2,2,5,1,4,1,1,5
-0.212448767297045,0.52571772509902,1.08765179205891,0.360203311426663,-1.38763449248606,5,2,4,3,1,3,1,1,3,4,2,5,4,1,3,3,5,2,2,1,1,1,1,3,2,1,1,3,2,4,3,4,1,2,3,4,2,5,2,3,5,3,3,3,1,3,2,3,1,1,4,2,3,1,4,3,4,3,1,1,5,5,5,5,1,1,1,4,1,3,1,5,3,5,5,5,1,3,1,3,5,2,4,5,1,5,1,4,1,4,2,1,3,2,4,5,4,5,3,3
-0.777477272550787,0.674611286453641,0.953427901553864,-0.853854030788526,-0.95102957055579,4,3,1,5,1,1,1,1,2,1,2,4,5,1,5,5,1,2,5,1,1,1,1,5,1,4,1,2,1,1,1,4,2,1,1,1,1,2,1,1,1,1,1,3,1,2,2,2,1,2,5,1,1,1,4,2,2,3,1,5,5,1,3,1,4,1,2,2,5,2,2,5,5,1,3,2,1,3,1,3,5,5,2,1,5,1,1,5,1,4,2,1,2,2,1,5,1,1,4,3
0.734959434496,-0.419029937378054,1.30100754081168,0.108828568758906,0.789396868202233,5,3,3,4,1,4,4,5,3,5,1,4,5,1,5,5,4,5,4,4,1,5,5,3,5,4,3,5,5,5,3,5,4,3,5,3,4,5,5,3,5,2,5,4,4,2,2,5,1,2,3,4,4,5,4,5,5,3,5,5,5,4,5,5,5,5,5,5,5,4,4,5,5,4,5,4,5,2,5,3,1,3,4,4,5,1,1,4,1,2,2,1,4,3,2,2,3,5,3,4
0.0489844305618427,1.20968036253009,-0.0730736910285188,0.51404956992036,-1.05827592386636,5,3,4,2,3,4,1,1,2,4,1,4,2,3,5,1,2,3,3,1,1,1,1,3,4,1,1,5,5,3,2,1,3,4,3,4,3,4,4,1,3,5,3,3,4,5,2,4,5,1,3,3,3,2,4,5,2,3,3,5,3,3,1,5,5,1,1,1,5,2,5,2,5,1,2,1,1,2,5,2,2,5,3,5,5,3,4,4,5,4,5,5,3,2,5,5,4,3,5,4
-2.47166294886851,-1.6421470357328,-0.070007500357741,-0.665364653031254,-1.01670502303632,3,1,1,2,1,1,1,2,1,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,2,1,1,1,1,2,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1
-1.0150854909723,0.0674704912116489,1.61849026876639,0.586494644292528,1.54581512618272,1,1,1,3,1,3,1,1,2,1,1,4,2,1,2,1,1,2,2,1,1,1,1,1,1,2,1,5,5,5,3,3,2,3,3,3,2,3,1,3,5,1,3,3,3,2,5,3,1,1,3,1,3,1,3,3,4,3,1,1,3,3,4,5,3,5,1,4,4,2,4,5,4,2,2,1,2,2,1,5,1,1,2,2,3,1,2,2,3,1,2,1,2,1,1,1,4,1,1,4
-0.116223826748235,-0.0682025253235908,0.630029787767829,-0.27486055853425,-0.716484531530452,5,3,5,3,3,4,3,4,3,5,5,4,5,1,5,3,3,2,4,2,1,2,4,3,2,1,4,3,3,4,1,3,1,2,4,5,2,2,1,5,2,2,5,3,1,3,2,3,1,1,2,1,4,2,1,3,5,3,2,3,5,3,1,1,3,1,1,4,4,4,2,3,3,1,5,1,5,4,1,5,1,1,2,2,1,2,3,5,4,4,2,1,1,2,1,1,4,2,4,3
-0.528617130937387,1.127674970277,-0.423596885876277,-0.0868410600664531,1.47861889287769,4,3,4,3,1,3,1,2,1,2,1,4,4,1,3,1,2,2,1,1,1,3,2,1,4,5,2,5,5,4,5,1,4,4,5,5,3,5,5,3,2,2,1,4,3,2,1,2,1,1,3,1,3,1,1,5,3,5,1,1,5,1,1,1,4,1,1,2,4,4,3,1,4,1,2,4,1,1,4,2,2,3,4,2,5,2,4,3,3,4,2,2,4,2,1,5,3,2,3,3
-0.481506694983089,-0.919603620863229,1.15606493183833,-1.32079703772833,-3.12265754222708,5,2,2,3,4,3,3,1,1,2,3,2,5,1,3,2,4,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,4,1,1,1,1,2,1,1,2,1,3,1,1,4,1,1,1,1,2,1,3,4,1,4,3,3,1,2,4,3,4,2,1,2,5,5,1,2,5,1,2,1,3,1,1,4,1,3,1,1,3,2,1,2,1,1,2,1,1,3,2,3,3
-0.455812310634838,1.03075600050549,-0.406135346472018,-0.0936090815355428,0.100426565927543,4,3,4,4,3,5,3,3,2,4,1,4,1,1,3,2,2,2,1,1,1,1,5,2,2,1,1,3,4,4,2,2,1,1,1,3,4,5,1,2,3,2,1,1,1,2,2,3,1,1,3,3,4,3,1,1,2,4,1,5,5,2,1,3,1,1,1,2,2,3,2,1,3,1,2,2,1,3,1,2,1,5,4,2,3,4,2,4,2,3,2,2,4,3,1,1,4,4,4,5
-0.817646228020605,0.60603762168524,1.77595991519567,2.02134357513077,0.584207381624768,3,1,1,3,3,5,1,1,1,1,1,4,3,1,3,2,1,2,1,1,1,1,1,1,2,4,1,3,5,3,3,1,1,1,3,2,1,2,2,2,4,4,5,3,4,3,2,3,1,2,3,1,3,5,4,3,5,2,4,4,5,5,5,5,1,5,3,3,5,3,1,5,2,5,2,5,1,4,5,5,1,1,4,5,2,1,3,2,2,2,2,4,1,2,1,1,1,2,3,3
-0.638970958689995,1.04672709814686,-0.0282810422823168,-1.74637795801644,-0.017873459486745,4,3,4,3,5,1,3,3,2,5,1,4,1,1,3,1,1,3,1,1,1,1,2,2,2,4,1,3,2,3,1,1,2,3,3,3,1,5,2,3,1,2,3,1,2,1,3,2,1,1,1,1,1,1,1,1,5,1,1,1,3,2,3,1,1,1,1,2,5,4,1,1,1,1,2,4,2,1,1,4,5,3,2,3,3,2,4,1,2,3,2,1,2,2,1,1,4,4,3,4
1.41700895503754,0.461307033728268,0.247427445616574,0.636678340990942,-0.0335017172118427,5,5,4,4,5,5,4,4,3,5,3,5,5,5,3,5,5,5,4,5,2,5,5,5,2,5,5,5,5,5,5,4,4,5,4,5,4,5,5,3,5,5,5,4,4,3,4,5,4,5,4,3,3,5,5,3,5,4,4,5,5,4,4,4,5,5,5,5,5,4,2,5,4,5,4,1,5,4,5,5,5,5,4,5,5,2,5,5,3,4,5,5,3,3,1,5,4,4,5,4
0.618688605047831,-0.650538628304881,0.88334189338526,-1.84100732886687,-0.65684360029853,2,3,4,3,3,4,1,3,4,5,1,4,4,1,5,3,3,5,4,1,5,4,5,3,1,2,5,5,5,3,4,3,2,1,3,5,4,5,3,5,4,2,3,1,1,3,3,3,1,2,4,1,3,3,4,3,1,3,1,5,3,4,5,5,5,1,3,4,5,2,2,5,4,1,5,2,5,1,5,5,1,3,4,3,3,2,5,4,5,1,2,1,3,2,1,1,5,5,3,4
-0.653426348711467,0.0781019139118051,-0.987678832653486,-0.211134811495149,0.223760988136115,4,3,1,4,1,5,3,3,2,1,1,2,2,1,2,1,2,1,4,1,1,1,1,5,1,2,1,5,5,3,3,1,4,1,3,3,2,2,5,3,1,2,1,3,2,2,2,3,1,5,2,1,3,2,4,3,1,3,1,1,5,3,3,1,3,1,1,2,4,2,2,1,3,1,3,1,2,2,5,2,1,4,4,1,4,1,4,1,1,4,2,5,2,2,1,2,4,4,4,3
