ItemIndex,Item,Category,ME1,ME2,ME3,ME4,ME5,ME6,ME7,ME8,CH1,CH2,CH3,CH4,CH5,CH6,EM1,EM2,EM3,EM4,EM5,EM6,FC1
77,1STFCI15,FCI,22,22,22,22,22,22,22,22,,,,,,,,,,,,,15
78,1STFCI16,FCI,23,23,23,23,23,23,23,23,,,,,,,,,,,,,16
79,1STFCI17,FCI,24,24,24,24,24,24,24,24,,,,,,,,,,,,,17
80,1STFCI18,FCI,25,25,25,25,25,25,25,25,,,,,,,,,,,,,18
81,1STFCI19,FCI,26,26,26,26,26,26,26,26,,,,,,,,,,,,,19
82,1STFCI20,FCI,27,27,27,27,27,27,27,27,,,,,,,,,,,,,20
83,1STFCI21,FCI,28,28,28,28,28,28,28,28,,,,,,,,,,,,,21
84,1STFCI22,FCI,29,29,29,29,29,29,29,29,,,,,,,,,,,,,22
85,1STFCI23,FCI,30,30,30,30,30,30,30,30,,,,,,,,,,,,,23
86,1STFCI24,FCI,31,31,31,31,31,31,31,31,,,,,,,,,,,,,24
87,1STFCI25,FCI,32,32,32,32,32,32,32,32,,,,,,,,,,,,,25
88,1STFCI26,FCI,33,33,33,33,33,33,33,33,,,,,,,,,,,,,26
89,1STFCI27,FCI,34,34,34,34,34,34,34,34,,,,,,,,,,,,,27
90,1STFCI28,FCI,35,35,35,35,35,35,35,35,,,,,,,,,,,,,28
91,1STFCI29,FCI,36,36,36,36,36,36,36,36,,,,,,,,,,,,,29
92,1STFCI30,FCI,37,37,37,37,37,37,37,37,,,,,,,,,,,,,30
93,CCI1,CCI,,,,,,,,,8,8,8,8,8,8,,,,,,,
94,CCI2,CCI,,,,,,,,,9,9,9,9,9,9,,,,,,,
95,CCI3,CCI,,,,,,,,,10,10,10,10,10,10,,,,,,,
96,CCI4,CCI,,,,,,,,,11,11,11,11,11,11,,,,,,,
97,CCI5,CCI,,,,,,,,,12,12,12,12,12,12,,,,,,,
98,CCI6,CCI,,,,,,,,,13,13,13,13,13,13,,,,,,,
99,CCI7,CCI,,,,,,,,,14,14,14,14,14,14,,,,,,,
100,CCI8,CCI,,,,,,,,,15,15,15,15,15,15,,,,,,,
101,CCI9,CCI,,,,,,,,,16,16,16,16,16,16,,,,,,,
102,CCI10,CCI,,,,,,,,,17,17,17,17,17,17,,,,,,,
103,CCI11,CCI,,,,,,,,,18,18,18,18,18,18,,,,,,,
104,CCI12,CCI,,,,,,,,,19,19,19,19,19,19,,,,,,,
105,CCI13,CCI,,,,,,,,,20,20,20,20,20,20,,,,,,,
106,CCI14,CCI,,,,,,,,,21,21,21,21,21,21,,,,,,,
107,CCI15,CCI,,,,,,,,,22,22,22,22,22,22,,,,,,,
108,CCI16,CCI,,,,,,,,,23,23,23,23,23,23,,,,,,,
109,CCI17,CCI,,,,,,,,,24,24,24,24,24,24,,,,,,,
110,CCI18,CCI,,,,,,,,,25,25,25,25,25,25,,,,,,,
111,CCI19,CCI,,,,,,,,,26,26,26,26,26,26,,,,,,,
112,CCI20,CCI,,,,,,,,,27,27,27,27,27,27,,,,,,,
113,CCI21,CCI,,,,,,,,,28,28,28,28,28,28,,,,,,,
114,CCI22,CCI,,,,,,,,,29,29,29,29,29,29,,,,,,,
115,ACS1,ACS,,,,,,,,,30,30,30,30,30,30,,,,,,,
116,ACS2,ACS,,,,,,,,,31,31,31,31,31,31,,,,,,,
117,ACS3,ACS,,,,,,,,,32,32,32,32,32,32,,,,,,,
118,ACS4,ACS,,,,,,,,,33,33,33,33,33,33,,,,,,,
119,ACS5,ACS,,,,,,,,,34,34,34,34,34,34,,,,,,,
120,ACS6,ACS,,,,,,,,,35,35,35,35,35,35,,,,,,,
121,ACS7,ACS,,,,,,,,,36,36,36,36,36,36,,,,,,,
122,ACS8,ACS,,,,,,,,,37,37,37,37,37,37,,,,,,,
123,MBL1,MBL,38,38,38,38,38,38,38,38,,,,,,,,,,,,,
124,MBL2,MBL,39,39,39,39,39,39,39,39,,,,,,,,,,,,,
125,MBL3,MBL,40,40,40,40,40,40,40,40,,,,,,,,,,,,,
126,MBL4,MBL,41,41,41,41,41,41,41,41,,,,,,,,,,,,,
127,MBL5,MBL,42,42,42,42,42,42,42,42,,,,,,,,,,,,,
128,MBL6,MBL,43,43,43,43,43,43,43,43,,,,,,,,,,,,,
